chr	start	end	CpG	0168_51-N	0168_51-X	0168_52-N	0168_52-X	0168_53-N	0168_53-X	0168_54-N	0168_54-X
1	28458580	28458681	8	NA	NA	NA	NA	NA	NA	20	17
1	28889455	28889527	5	NA	NA	23	22	NA	NA	NA	NA
1	30542316	30542381	5	NA	NA	23	22	NA	NA	20	18
1	30770807	30770893	5	NA	NA	23	0	NA	NA	NA	NA
1	30873018	30873441	43	46	1	49	0	65	0	83	1
1	30873477	30873883	52	119	0	124	1	109	0	170	2
1	30949359	30949539	19	66	0	37	0	39	0	62	1
1	30949723	30950215	47	152	0	106	0	119	0	82	0
1	31301172	31301271	6	NA	NA	20	15	NA	NA	NA	NA
1	32172750	32172986	22	65	3	34	0	59	0	44	0
1	33020100	33020192	7	21	19	29	25	NA	NA	NA	NA
1	33100854	33100921	5	20	18	NA	NA	NA	NA	NA	NA
1	33670401	33670490	12	44	0	21	0	NA	NA	33	1
1	33719856	33720035	16	21	0	27	0	25	0	50	0
1	33720165	33720304	25	40	0	59	1	23	0	NA	NA
1	33745224	33745290	5	NA	NA	NA	NA	NA	NA	20	20
1	33757612	33758007	35	123	0	45	0	103	1	95	1
1	33813976	33814292	20	NA	NA	70	1	37	0	29	0
1	33814298	33814616	41	127	1	110	0	94	0	70	0
1	33907642	33907860	35	108	0	67	1	20	0	41	0
1	33908006	33908046	9	NA	NA	NA	NA	NA	NA	27	0
1	34011339	34011740	25	55	1	64	0	76	0	44	0
1	34175709	34175815	7	NA	NA	NA	NA	NA	NA	39	39
1	34236609	34236659	8	21	1	NA	NA	NA	NA	21	0
1	34433016	34433143	9	22	1	NA	NA	NA	NA	27	0
1	34439579	34439809	12	37	0	28	0	26	0	31	0
1	34460192	34460255	7	NA	NA	26	0	21	0	NA	NA
1	34579593	34579839	30	51	1	66	0	37	0	22	1
1	34678103	34678271	18	56	0	69	0	35	1	41	0
1	34678718	34678838	6	NA	NA	22	0	25	1	NA	NA
1	34750708	34750990	36	56	0	56	1	92	1	118	0
1	34801887	34802094	17	33	0	26	0	35	0	NA	NA
1	34842597	34842827	35	45	0	101	1	71	0	105	0
1	34843060	34843099	10	NA	NA	30	0	20	0	NA	NA
1	34849919	34850009	12	33	0	57	0	23	0	34	0
1	34850122	34850153	5	NA	NA	24	0	NA	NA	NA	NA
1	34929862	34930076	7	NA	NA	NA	NA	20	1	NA	NA
1	36008579	36008699	5	NA	NA	21	20	NA	NA	NA	NA
1	36065057	36065096	7	NA	NA	NA	NA	NA	NA	27	0
1	36068329	36068670	43	49	0	107	0	123	0	49	1
1	36068675	36069016	27	44	0	62	0	40	0	86	0
1	36069140	36069215	10	48	0	39	0	NA	NA	20	0
1	36244152	36244387	24	NA	NA	NA	NA	77	0	45	0
1	36269472	36269559	11	NA	NA	NA	NA	33	10	NA	NA
1	36291704	36291794	7	NA	NA	21	0	NA	NA	NA	NA
1	36303448	36303602	10	25	0	24	0	NA	NA	24	0
1	36368685	36368958	23	NA	NA	NA	NA	98	1	39	1
1	36368963	36369231	38	129	0	88	0	82	3	73	0
1	36444970	36445219	26	54	0	39	1	44	1	28	0
1	36471337	36471487	18	32	0	38	0	28	0	62	0
1	36471707	36471868	14	NA	NA	24	0	37	0	NA	NA
1	36506530	36506588	6	NA	NA	NA	NA	NA	NA	27	27
1	36511660	36511749	14	32	1	22	0	41	0	21	0
1	36512054	36512501	71	148	2	188	0	144	1	140	0
1	36512651	36512862	33	76	0	72	0	26	0	71	1
1	36546983	36547180	16	42	0	NA	NA	33	0	20	0
1	36557803	36558064	22	38	1	52	0	48	1	29	0
1	36558223	36558478	18	41	0	25	0	45	1	32	0
1	36691412	36691534	13	34	0	25	0	NA	NA	32	0
1	36691733	36691810	9	NA	NA	NA	NA	NA	NA	47	0
1	36771053	36771120	6	NA	NA	24	0	22	4	22	0
1	36781585	36781829	9	NA	NA	NA	NA	33	32	NA	NA
1	36785021	36785246	9	27	0	NA	NA	NA	NA	NA	NA
1	36938979	36939372	57	151	2	105	0	78	0	172	2
1	36939382	36939783	52	83	0	114	0	94	0	88	0
1	36939885	36940046	12	34	0	NA	NA	53	0	26	0
1	37261251	37261538	11	NA	NA	NA	NA	28	16	NA	NA
1	37300352	37300409	6	28	1	NA	NA	NA	NA	NA	NA
1	37429970	37430027	7	37	0	NA	NA	NA	NA	NA	NA
1	37540755	37540996	31	71	0	41	0	60	0	84	0
1	37541162	37541262	8	20	0	NA	NA	NA	NA	NA	NA
1	37631832	37631925	8	42	41	21	19	NA	NA	NA	NA
1	37637841	37637926	6	NA	NA	NA	NA	NA	NA	27	27
1	37719622	37719922	50	90	0	132	1	42	0	108	0
1	37864697	37864988	13	23	0	22	1	NA	NA	41	0
1	37864997	37865282	33	80	0	104	1	71	0	108	1
1	37890474	37890497	5	NA	NA	NA	NA	NA	NA	20	0
1	37997164	37997430	18	NA	NA	44	0	NA	NA	54	0
1	37997888	37998263	34	127	1	34	0	53	0	76	0
1	37998269	37998644	38	65	1	61	0	83	0	81	1
1	38129015	38129455	38	121	0	60	0	81	0	87	0
1	38129466	38129911	52	101	0	114	0	169	1	36	1
1	38626903	38627069	12	NA	NA	49	0	34	1	NA	NA
1	38627404	38627670	53	92	1	125	1	118	2	123	1
1	38835951	38836309	43	112	0	111	0	113	2	115	0
1	38836317	38836672	40	125	0	141	1	45	0	63	1
1	38897829	38898010	12	29	0	NA	NA	NA	NA	35	0
1	38945961	38946063	6	NA	NA	21	7	NA	NA	NA	NA
1	38987450	38987638	11	NA	NA	22	0	NA	NA	51	0
1	38988036	38988078	4	NA	NA	21	0	NA	NA	NA	NA
1	39178528	39178658	8	NA	NA	36	2	NA	NA	NA	NA
1	39193299	39193642	25	58	0	95	0	39	0	40	1
1	39193858	39193928	9	27	1	NA	NA	NA	NA	NA	NA
1	39194268	39194559	16	41	0	30	0	27	0	36	0
1	39315988	39316071	5	NA	NA	NA	NA	20	20	NA	NA
1	39368373	39368522	8	24	0	NA	NA	NA	NA	NA	NA
1	39394148	39394237	6	55	55	40	33	NA	NA	NA	NA
1	39478292	39478391	12	65	0	NA	NA	21	0	45	0
1	39478627	39478901	21	64	0	NA	NA	82	1	29	0
1	39535844	39535918	12	28	0	NA	NA	28	0	NA	NA
1	39536193	39536287	14	39	1	NA	NA	28	0	56	0
1	39576815	39577229	43	78	0	65	0	52	1	124	0
1	39650442	39650716	22	28	0	37	0	89	0	NA	NA
1	39650758	39651020	19	32	0	31	0	41	0	29	0
1	39720744	39720973	14	39	4	42	1	27	1	47	0
1	39728139	39728211	5	20	20	NA	NA	NA	NA	NA	NA
1	39900591	39900650	8	NA	NA	31	0	NA	NA	NA	NA
1	39900821	39901103	45	94	1	97	0	73	1	130	2
1	39901108	39901386	28	55	0	66	1	40	0	35	0
1	40117691	40117747	4	23	9	NA	NA	NA	NA	NA	NA
1	40325950	40326018	6	NA	NA	NA	NA	30	0	NA	NA
1	40681095	40681475	47	57	0	119	0	69	0	106	0
1	40681610	40681694	14	48	0	NA	NA	NA	NA	53	0
1	40681883	40682049	14	40	0	56	0	27	1	40	1
1	40790415	40790595	9	NA	NA	NA	NA	NA	NA	28	0
1	40804386	40804489	7	NA	NA	NA	NA	NA	NA	36	36
1	42694092	42694142	5	NA	NA	21	1	25	1	NA	NA
1	42696370	42696449	8	NA	NA	24	0	NA	NA	NA	NA
1	42696636	42696997	40	112	0	87	1	83	0	69	1
1	42697300	42697325	6	NA	NA	NA	NA	23	0	NA	NA
1	42697549	42697622	13	NA	NA	64	0	51	1	NA	NA
1	42698557	42698644	10	27	0	27	1	27	0	NA	NA
1	42741670	42741773	4	20	17	NA	NA	NA	NA	NA	NA
1	42851375	42851480	6	36	0	25	0	26	0	21	0
1	42851866	42851956	6	NA	NA	25	0	NA	NA	NA	NA
1	42953185	42953534	32	80	0	69	1	76	0	109	0
1	43092537	43092874	33	55	0	89	0	30	0	58	0
1	43098927	43099084	10	NA	NA	23	0	31	0	36	0
1	43163637	43163893	11	NA	NA	20	0	33	0	21	1
1	43164004	43164061	10	30	0	21	0	NA	NA	38	0
1	43445602	43445974	51	139	0	220	1	195	2	130	1
1	43446060	43446369	30	45	0	106	0	57	0	28	0
1	43446408	43446780	16	33	1	31	0	30	0	40	0
1	43827439	43827503	7	33	0	27	0	20	0	26	0
1	43827752	43827847	15	NA	NA	32	0	45	0	35	0
1	43934180	43934306	12	NA	NA	29	0	42	1	22	0
1	44102080	44102270	14	27	0	30	0	21	0	47	0
1	44102471	44102642	18	46	0	28	0	58	0	30	0
1	44119995	44120139	6	20	0	NA	NA	20	0	NA	NA
1	44147806	44148212	29	59	0	69	1	61	0	37	0
1	44198719	44198881	13	41	0	32	0	NA	NA	NA	NA
1	44551492	44551980	27	89	1	57	0	76	0	71	0
1	45741055	45741125	5	28	25	NA	NA	NA	NA	NA	NA
1	45795584	45795731	18	41	0	62	0	67	0	41	1
1	46449719	46449789	5	NA	NA	NA	NA	NA	NA	35	26
1	46852931	46853286	46	136	0	64	0	123	1	97	1
1	46853454	46853583	14	22	0	NA	NA	32	0	57	0
1	46853685	46853795	18	42	0	28	0	38	0	61	0
1	46896575	46896707	5	21	20	NA	NA	NA	NA	NA	NA
1	47787195	47787400	7	NA	NA	25	20	26	20	NA	NA
1	48741568	48741601	6	NA	NA	34	31	NA	NA	NA	NA
1	49419800	49420001	6	NA	NA	NA	NA	23	17	NA	NA
1	49829985	49830047	6	23	21	NA	NA	NA	NA	NA	NA
1	49934872	49935081	9	33	9	NA	NA	NA	NA	20	3
1	50025784	50025899	6	NA	NA	21	6	NA	NA	NA	NA
1	50159968	50160048	7	25	22	NA	NA	NA	NA	NA	NA
1	50926496	50926669	8	NA	NA	21	0	NA	NA	NA	NA
1	50927439	50927484	7	NA	NA	21	0	NA	NA	NA	NA
1	51477783	51477935	9	23	0	NA	NA	NA	NA	NA	NA
1	51478567	51478620	6	24	0	NA	NA	NA	NA	NA	NA
1	51915217	51915369	11	39	0	21	0	26	0	44	0
1	51915690	51916071	49	117	0	167	1	77	0	105	0
1	52113895	52113951	7	28	0	NA	NA	NA	NA	NA	NA
1	52119344	52119825	35	113	2	71	0	68	2	101	0
1	52119941	52120023	8	NA	NA	NA	NA	NA	NA	22	0
1	52232402	52232442	6	29	0	NA	NA	23	0	NA	NA
1	52232791	52233041	34	89	1	114	0	45	0	40	0
1	52500088	52500406	52	138	1	108	0	98	1	182	1
1	52500615	52500639	5	20	0	NA	NA	NA	NA	NA	NA
1	52630552	52630681	13	20	0	55	1	NA	NA	NA	NA
1	52727005	52727093	15	58	1	NA	NA	NA	NA	24	0
1	52727227	52727417	24	102	0	53	0	38	0	50	0
1	52817352	52817767	29	43	0	71	0	61	1	46	0
1	52952716	52952840	9	NA	NA	31	0	21	0	NA	NA
1	53297096	53297350	22	75	0	48	0	37	0	60	0
1	53352517	53352578	7	NA	NA	NA	NA	21	0	21	0
1	53784792	53785215	49	117	0	172	0	143	0	120	0
1	54194323	54194380	5	NA	NA	NA	NA	22	0	NA	NA
1	54194564	54194657	22	45	0	41	0	44	0	86	0
1	54194969	54195022	11	NA	NA	NA	NA	43	0	NA	NA
1	54438736	54438978	18	65	0	26	0	24	0	59	0
1	54557210	54557397	13	NA	NA	21	0	37	1	51	0
1	54925983	54926077	16	31	0	95	1	NA	NA	NA	NA
1	54926442	54926495	10	28	0	NA	NA	21	0	37	0
1	55027022	55027064	6	NA	NA	NA	NA	NA	NA	23	0
1	55027467	55027604	14	56	0	NA	NA	39	1	39	0
1	55052508	55052805	25	57	0	52	0	44	0	69	0
1	55052890	55053153	24	38	8	55	0	77	0	32	0
1	55053257	55053329	6	NA	NA	NA	NA	28	1	NA	NA
1	55087380	55087749	24	51	0	41	1	76	0	57	0
1	55088072	55088468	33	100	0	81	0	21	1	93	0
1	55131162	55131252	17	39	0	73	0	51	0	27	0
1	55131406	55131648	21	41	1	64	0	82	0	48	0
1	55220461	55220603	6	NA	NA	22	15	NA	NA	NA	NA
1	55236930	55237332	38	85	1	76	0	58	0	82	0
1	55237377	55237751	27	44	0	36	0	63	0	65	0
1	55362867	55363011	22	101	15	42	8	25	12	38	0
1	55363339	55363520	29	65	0	92	0	NA	NA	42	1
1	55406080	55406210	18	25	0	22	0	49	1	57	0
1	55406338	55406671	28	54	0	66	0	70	0	NA	NA
1	55497836	55497921	6	NA	NA	NA	NA	NA	NA	30	29
1	56782076	56782118	5	NA	NA	NA	NA	NA	NA	21	7
1	56969642	56969852	22	32	0	67	0	67	1	42	0
1	56971473	56971669	21	91	1	57	1	39	0	28	0
1	56972346	56972439	17	32	1	NA	NA	31	0	82	0
1	56972626	56972834	22	50	1	46	1	65	0	54	0
1	56973138	56973227	10	36	0	NA	NA	NA	NA	37	1
1	56977893	56977976	6	23	0	NA	NA	NA	NA	NA	NA
1	56978405	56978554	8	NA	NA	NA	NA	25	1	NA	NA
1	56980858	56980916	6	21	0	NA	NA	NA	NA	NA	NA
1	56984432	56984507	7	NA	NA	35	0	NA	NA	NA	NA
1	57377572	57378039	52	149	0	61	0	131	0	76	0
1	57406219	57406505	12	20	0	31	1	NA	NA	NA	NA
1	57588469	57588527	8	40	34	24	20	40	37	NA	NA
1	57774782	57774828	6	NA	NA	NA	NA	NA	NA	29	0
1	57774996	57775274	31	73	0	71	0	38	0	47	1
1	57775331	57775573	26	56	0	51	1	45	0	56	0
1	57970067	57970228	24	51	0	92	0	80	0	NA	NA
1	57996053	57996210	18	45	0	26	0	72	0	NA	NA
1	58392749	58393062	22	43	1	58	0	43	0	40	0
1	58393078	58393398	34	97	0	56	0	49	0	49	0
1	58393568	58393717	22	52	0	39	1	74	1	37	0
1	58423653	58423813	22	20	0	42	0	NA	NA	66	0
1	58504587	58505058	40	48	0	93	0	52	1	113	1
1	58586547	58586706	7	NA	NA	NA	NA	26	0	27	0
1	58644863	58644938	5	NA	NA	20	20	NA	NA	NA	NA
1	58652800	58652845	6	NA	NA	NA	NA	NA	NA	23	0
1	58711443	58711821	25	48	0	63	0	57	0	54	0
1	58795667	58795793	12	25	0	44	1	20	0	26	0
1	58973247	58973341	11	NA	NA	27	0	46	0	NA	NA
1	58973739	58974049	26	73	0	64	0	32	0	59	0
1	59119912	59120176	22	98	0	49	0	33	0	31	1
1	59120194	59120460	19	70	1	56	1	31	0	NA	NA
1	59237136	59237267	18	54	0	NA	NA	52	1	46	0
1	59286482	59286560	6	NA	NA	NA	NA	NA	NA	20	13
1	59481704	59481782	5	NA	NA	NA	NA	25	0	NA	NA
1	59482632	59482691	8	NA	NA	24	0	NA	NA	NA	NA
1	59482976	59483050	10	38	0	21	0	27	0	39	1
1	59483427	59483460	6	23	0	NA	NA	NA	NA	NA	NA
1	59540709	59540845	11	43	13	31	1	33	5	NA	NA
1	59670454	59670499	8	NA	NA	NA	NA	24	0	NA	NA
1	59670983	59671172	8	NA	NA	NA	NA	NA	NA	20	0
1	59762848	59763138	30	54	0	64	0	51	0	100	0
1	59763848	59763982	10	28	0	NA	NA	NA	NA	NA	NA
1	59913140	59913202	7	27	1	NA	NA	NA	NA	NA	NA
1	59913680	59913798	10	30	0	28	0	29	0	30	0
1	60042873	60043266	68	110	0	136	0	197	0	74	0
1	60098441	60098717	24	74	1	24	0	60	0	51	0
1	60180279	60180735	52	129	0	165	0	183	0	124	1
1	60180861	60180924	8	NA	NA	23	0	NA	NA	31	0
1	60343456	60343701	19	50	0	30	2	NA	NA	40	0
1	60409295	60409456	15	NA	NA	51	1	33	0	53	0
1	60410037	60410198	20	109	3	21	0	NA	NA	35	0
1	60566024	60566212	8	NA	NA	NA	NA	NA	NA	21	0
1	60566436	60566578	11	30	1	22	0	28	0	NA	NA
1	60566808	60566975	22	42	0	64	0	97	2	61	0
1	60769729	60769822	7	43	43	NA	NA	NA	NA	NA	NA
1	60791390	60791477	6	24	22	NA	NA	NA	NA	NA	NA
1	60901243	60901312	5	21	1	NA	NA	NA	NA	NA	NA
1	61356275	61356423	6	NA	NA	NA	NA	NA	NA	20	2
1	61638519	61638913	22	47	0	37	0	41	0	42	0
1	62703489	62703729	23	83	0	34	0	39	0	53	0
1	62706612	62706701	8	30	0	23	1	NA	NA	NA	NA
1	63061078	63061142	5	NA	NA	NA	NA	20	18	NA	NA
1	63113688	63113785	14	38	0	NA	NA	NA	NA	NA	NA
1	63113895	63114315	37	58	0	123	0	91	0	47	0
1	63140376	63140453	5	NA	NA	NA	NA	NA	NA	28	3
1	63176792	63177044	23	88	0	59	0	48	0	45	0
1	63177069	63177304	15	37	0	30	0	21	0	39	0
1	63248374	63248561	22	77	1	23	0	25	0	38	1
1	63273032	63273115	9	NA	NA	NA	NA	NA	NA	27	1
1	63273444	63273785	44	142	1	109	0	75	0	32	0
1	63445828	63446114	40	137	2	62	0	104	0	68	1
1	63446399	63446487	9	NA	NA	NA	NA	41	0	NA	NA
1	64120570	64120681	8	NA	NA	20	0	NA	NA	39	1
1	64121860	64122051	17	51	0	41	0	31	0	41	0
1	64532417	64532878	48	88	2	82	0	139	1	86	0
1	64533131	64533485	39	83	0	153	0	119	0	67	0
1	64617015	64617253	17	40	0	40	0	NA	NA	52	0
1	64617587	64617739	15	53	0	21	0	23	0	56	0
1	64690278	64690603	17	51	0	37	0	45	0	62	0
1	64690642	64690954	35	81	0	62	0	118	0	54	0
1	64691249	64691651	27	37	0	46	0	24	0	85	0
1	64734944	64735031	9	NA	NA	NA	NA	NA	NA	33	0
1	64735140	64735255	8	27	3	24	3	NA	NA	NA	NA
1	64735914	64736109	15	40	1	NA	NA	27	0	33	4
1	64736361	64736772	22	32	0	54	1	43	0	27	0
1	64737103	64737173	7	NA	NA	NA	NA	21	0	25	1
1	64737317	64737461	8	NA	NA	NA	NA	20	0	NA	NA
1	64737800	64738104	30	43	0	55	0	83	0	60	2
1	64956564	64956793	18	38	0	36	0	36	0	22	0
1	65179028	65179187	10	26	0	22	0	27	0	NA	NA
1	65186817	65186906	11	20	0	51	0	21	0	20	0
1	65979951	65980032	8	24	23	NA	NA	32	30	NA	NA
1	66175155	66175245	13	25	1	48	0	23	0	NA	NA
1	66175505	66175692	10	NA	NA	25	1	28	0	25	0
1	66468120	66468433	31	84	1	33	0	45	0	56	0
1	66700806	66700867	8	32	0	NA	NA	NA	NA	NA	NA
1	66701229	66701350	8	30	0	NA	NA	NA	NA	30	0
1	66817196	66817551	50	117	0	119	1	134	0	154	0
1	66817555	66817910	43	123	1	89	0	89	0	102	0
1	66849452	66849548	6	NA	NA	23	7	NA	NA	22	13
1	66863099	66863267	22	39	0	49	0	NA	NA	57	4
1	68625134	68625193	6	24	24	NA	NA	22	19	22	21
1	69106653	69106703	7	31	0	NA	NA	NA	NA	NA	NA
1	69107088	69107260	13	29	0	43	0	30	0	32	0
1	69107848	69108054	22	67	2	77	1	54	0	84	0
1	69687615	69687692	13	26	0	50	4	61	0	NA	NA
1	69731953	69732141	7	25	4	NA	NA	20	12	NA	NA
1	69759605	69759680	7	NA	NA	NA	NA	21	0	NA	NA
1	69826922	69827121	21	52	1	31	0	32	0	56	0
1	71102658	71103002	29	86	0	70	1	72	0	102	1
1	71556967	71557159	15	34	0	35	0	30	0	25	0
1	71557285	71557443	7	20	0	NA	NA	NA	NA	NA	NA
1	71609523	71609580	8	NA	NA	24	24	NA	NA	NA	NA
1	71653005	71653324	24	54	0	102	0	44	1	40	0
